sample	pH	NH4-N	NO3-N	SOC	TN	C/N	T	season	foreststructure
S70	4.76 	2.116302	19.29	9.319944	2.123333333	4.389298587	11.4	3	3
S71	5.36 	3.123991	10.3919	7.675248	1.47	5.221257143	2.6	4	1
S72	5.36 	3.123991	10.3919	7.675248	1.47	5.221257143	2.6	4	1
S73	5.43 	2.8102765	12.4895	9.685432	1.283333333	7.54708987	2.9	4	1
S74	5.43 	2.8102765	12.4895	9.685432	1.283333333	7.54708987	2.9	4	1
S75	5.58 	3.0954715	8.7911	9.319944	1.143333333	8.151554519	2.8	4	1
S76	5.58 	3.0954715	8.7911	9.319944	1.143333333	8.151554519	2.8	4	1
S77	5.36 	3.1905365	15.4151	10.599152	1.283333333	8.259079481	2.9	4	1
S78	5.36 	3.1905365	15.4151	10.599152	1.283333333	8.259079481	2.9	4	1
S79	5.12 	1.1561455	9.5087	17.543424	1.633333333	10.74087184	2.8	4	2
S80	5.12 	1.1561455	9.5087	17.543424	1.633333333	10.74087184	2.8	4	2
S81	5.21 	1.412821	10.9439	10.599152	0.956666667	11.07925296	2.4	4	2
S82	5.21 	1.412821	10.9439	10.599152	0.956666667	11.07925296	2.4	4	2
S83	5.33 	1.317756	9.0119	15.167752	1.68	9.02842381	2.8	4	2
S84	5.33 	1.317756	9.0119	15.167752	1.68	9.02842381	2.8	4	2
S85	4.91 	1.165652	9.4535	12.061104	1.423333333	8.47384356	2.9	4	2
S86	4.91 	1.165652	9.4535	12.061104	1.423333333	8.47384356	2.9	4	2
S87	4.81 	2.173341	8.6807	14.254032	1.54	9.255864935	2.7	4	3
S88	4.81 	2.173341	8.6807	14.254032	1.54	9.255864935	2.7	4	3
S89	4.66 	2.876822	9.8399	16.812448	0.863333333	19.47387799	2.6	4	3
S90	4.66 	2.876822	9.8399	16.812448	0.863333333	19.47387799	2.6	4	3
S91	4.86 	1.0991065	13.2623	11.87836	1.423333333	8.345451991	3.0	4	3
S92	4.86 	1.0991065	13.2623	11.87836	1.423333333	8.345451991	3.0	4	3
S93	4.87 	3.1715235	13.4831	11.330128	1.166666667	9.711538286	3.1	4	3
S94	4.87 	3.1715235	13.4831	11.330128	1.166666667	9.711538286	3.1	4	3
